city,guild,nb_nodes,isolated_nodes_count,cores_count,islets_count,n_subnetworks_theory,n_subnetworks,subnetworks_split_by_barriers,largest_subnetwork_size,nb_corridors,nb_failed_corridors,pc_theory,pc_real,connectivity_loss_pct,median_tortuosity,mean_tortuosity
Perpignan,ground_mammal,532,0,525,1421,1,1,0,507,1075,7,0.144440410215046,0.0632217956890562,56.229842053944445,1.700096046098632,inf
Perpignan,arboreal_mammal,627,2,280,1979,1,3,2,541,1127,81,0.0071678785057806,0.0009469710951215,86.78868378756857,1.3943808467087488,inf
Perpignan,forest_edge_bird,739,2,363,1844,1,5,4,321,1281,145,0.0281841950059536,0.0032757421886996,88.37737892457939,1.4142135623730951,inf
Perpignan,ground_reptile,691,11,196,1177,1,14,13,181,1088,270,0.0099220170191097,0.0015826271232094,84.04934077253364,1.4142135623730951,inf
Nancy,ground_mammal,1175,1,424,1839,1,1,0,1161,2631,6,0.2230278123529433,0.1184295127120489,46.89921787663267,1.650377347389404,inf
Nancy,arboreal_mammal,1211,0,257,1911,1,1,0,1186,2566,8,0.0925004620787487,0.0350741314683837,62.08220945045228,1.5,inf
Nancy,forest_edge_bird,1211,1,220,1699,1,1,0,1185,2506,65,0.0878538289069363,0.0298419933768933,66.0322222170818,1.4142135623730951,inf
Nancy,ground_reptile,826,10,194,905,1,7,6,677,1334,282,0.0076765152617611,0.00112549520395,85.33846197692768,1.4142135623730951,inf
Kourou,ground_mammal,156,0,32,223,1,2,1,97,278,37,0.2729053590299438,0.1356402340115596,50.29770229001738,1.4616177802970567,inf
Kourou,arboreal_mammal,211,0,89,322,1,1,0,200,411,10,0.1331037040569983,0.0926894864569809,30.362954875178428,1.2071067811865477,inf
Kourou,forest_edge_bird,212,1,79,285,1,1,0,196,387,37,0.1293452575652252,0.0653541495263539,49.47309955032744,1.1480295440826649,inf
Kourou,ground_reptile,297,3,88,309,1,4,3,184,478,61,0.0091411280355412,0.0048327387184337,47.13192179735669,1.4142135623730951,inf
LRSY,ground_mammal,2086,1,1475,3881,1,1,0,2032,4537,1,0.2467937935069572,0.1726211464175207,30.054502601316678,1.804737854124365,inf
LRSY,arboreal_mammal,4545,0,1062,6896,1,1,0,4459,9586,35,0.0252138033179674,0.0029931661377874,88.12885902201639,1.4142135623730951,inf
LRSY,forest_edge_bird,4545,0,956,6148,1,1,0,4457,9414,177,0.0219258516314309,0.0014805316464939,93.24755238071758,1.2956029530403603,inf
LRSY,ground_reptile,4659,5,1483,4544,1,3,2,4431,9349,520,0.0277872435924384,0.0021369323397339,92.30966420751628,1.4150793241586022,inf
LaRochelle,ground_mammal,2161,0,614,3002,1,1,0,2117,4371,18,0.0281850282595752,0.0063267657747765,77.55274283740638,1.4571067811865477,inf
LaRochelle,arboreal_mammal,1046,3,238,1438,1,11,10,751,1633,253,0.0003269143163134,5.847098941116531e-05,82.11427689355165,1.3168437612944155,inf
LaRochelle,forest_edge_bird,1045,23,206,1284,1,28,27,449,1413,466,0.0002337931191182,4.5409527814089823e-05,80.57704692706747,1.2472904468625472,inf
LaRochelle,ground_reptile,2219,26,287,2265,1,14,13,1793,3566,807,0.0067345722251939,0.0024178132478481,64.0984881147594,1.507851613832555,inf
Toulouse,ground_mammal,4733,2,1526,7974,1,1,0,4671,10362,7,0.0922808253372214,0.0277270790704855,69.95358573228769,1.7011145714515532,inf
Toulouse,arboreal_mammal,4769,0,894,7657,1,1,0,4676,9930,89,0.0234548088476042,0.0028150862666787,87.99782899545454,1.5276160438210438,inf
Toulouse,forest_edge_bird,4769,0,746,6885,1,3,2,4664,9652,348,0.0201347450988623,0.0018174750965192,90.97343876172556,1.4245738269360606,inf
Toulouse,ground_reptile,3577,38,664,4244,1,8,7,3312,6150,1004,0.0008348706821107,9.17965264815753e-05,89.00470115329775,1.412172747361013,inf
