perturbation,city,guild,nb_nodes,isolated_nodes_count,cores_count,islets_count,n_subnetworks_theory,n_subnetworks,subnetworks_split_by_failed_links,largest_subnetwork_size,nb_corridors,nb_failed_corridors,pc_theory,pc_real,connectivity_loss_pct,ec_theory_ha,ec_real_ha,connected_habitat_pct,median_tortuosity,mean_tortuosity,aoi_total_ha,habitat_ha_in_aoi,habitat_coverage_pct,nodes_in_aoi,cores_in_aoi,islets_in_aoi
c10_p20,Perpignan,ground_reptile,691.0,12.0,196.0,1177.0,1.0,14.0,13.0,181.0,1082.0,275.0,0.0099220170191097,0.0015571214111462,84.30640253743489,676.3,267.9,22.9,1.4142135623730951,2.0415267248552187,6789.5,1167.8,17.2,605.0,91.0,514.0
c10_p20,Perpignan,ground_mammal,532.0,0.0,525.0,1421.0,1.0,1.0,0.0,507.0,1073.0,7.0,0.144440410215046,0.0626755658128712,56.60801176100338,2580.4,1699.7,64.1,1.5987062412841166,3.2751123507374165,6789.5,2651.8,39.1,510.0,119.0,391.0
fric_p20,Perpignan,ground_mammal,532.0,0.0,525.0,1421.0,1.0,1.0,0.0,507.0,1059.0,23.0,0.144440410215046,0.0565803741751375,60.82787767571457,2580.4,1615.0,60.9,1.60947570824873,3.378954444057048,6789.5,2651.8,39.1,510.0,119.0,391.0
fric_p20,Perpignan,ground_reptile,691.0,17.0,196.0,1177.0,1.0,19.0,18.0,168.0,1041.0,317.0,0.0099220170191097,0.0013875171488338,86.01577535936997,676.3,252.9,21.7,1.412811624583021,2.0302969361001613,6789.5,1167.8,17.2,605.0,91.0,514.0
fric_p20,Perpignan,forest_edge_bird,739.0,5.0,363.0,1844.0,1.0,9.0,8.0,315.0,1231.0,195.0,0.0281841950059536,0.0028135206596118,90.01738151819674,1139.8,360.1,25.3,1.4139073890260647,1.7748191389258017,6789.5,1424.4,21.0,682.0,110.0,572.0
fric_p20,Perpignan,arboreal_mammal,627.0,2.0,280.0,1979.0,1.0,5.0,4.0,317.0,1084.0,124.0,0.0071678785057806,0.0007949900917294,88.9089904204105,574.8,191.4,25.4,1.368304881989996,1.746454356636433,6789.5,753.2,11.1,575.0,72.0,503.0
fric_p20,LaRochelle,ground_mammal,2161.0,0.0,614.0,3002.0,1.0,1.0,0.0,2117.0,4352.0,37.0,0.0281850282595752,0.0057516823392736,79.59312906731012,5554.2,2509.1,38.3,1.4387239731236394,1.8793154427735268,33083.8,6555.6,19.8,2122.0,301.0,1821.0
fric_p20,LaRochelle,ground_reptile,2219.0,48.0,287.0,2265.0,1.0,32.0,31.0,759.0,3326.0,1047.0,0.0067345722251939,0.0022406167539681,66.7296350971484,2715.0,1566.0,32.2,1.4714045207910318,2.04827668504406,33083.8,4857.5,14.7,2170.0,216.0,1954.0
fric_p20,Kourou,ground_reptile,297.0,5.0,88.0,309.0,1.0,3.0,2.0,184.0,458.0,81.0,0.0091411280355412,0.0046218314853281,49.43915600614927,1172.3,833.6,44.4,1.4142135623730951,1.998874437268605,12261.1,1876.1,15.3,286.0,65.0,221.0
fric_p20,Kourou,arboreal_mammal,211.0,0.0,89.0,322.0,1.0,1.0,0.0,200.0,402.0,19.0,0.1331037040569983,0.0869417321624216,34.681207575417275,4473.2,3615.3,79.2,1.2066335075634582,1.4745137712757386,12261.1,4565.0,37.2,200.0,50.0,150.0
