city,guild,output,complete,n_cells,ref_value,grand,pct_d0,pct_contrast,pct_interaction
Kourou,ground_mammal,connected_habitat_pct,True,9,69.9,78.2,0.5,99.4,0.2
Kourou,ground_mammal,n_subnetworks,True,9,2.0,2.0,25.0,58.3,16.7
Kourou,ground_mammal,ec_real_ha,True,9,4515.7,5052.222,0.5,99.4,0.1
Kourou,ground_reptile,connected_habitat_pct,True,9,45.4,48.833,8.1,89.6,2.3
Kourou,ground_reptile,n_subnetworks,True,9,4.0,5.333,39.6,52.1,8.3
Kourou,ground_reptile,ec_real_ha,True,9,852.4,916.544,8.1,89.5,2.3
Kourou,arboreal_mammal,connected_habitat_pct,True,9,81.8,79.356,27.3,64.8,8.0
Kourou,arboreal_mammal,n_subnetworks,True,9,1.0,1.222,25.0,25.0,50.0
Kourou,arboreal_mammal,ec_real_ha,True,9,3732.9,3621.333,27.2,64.8,8.0
Kourou,forest_edge_bird,connected_habitat_pct,True,9,68.7,71.578,13.7,83.1,3.2
Kourou,forest_edge_bird,n_subnetworks,True,9,1.0,1.556,39.1,20.3,40.6
Kourou,forest_edge_bird,ec_real_ha,True,9,3134.5,3267.056,13.7,83.0,3.2
Perpignan,ground_mammal,connected_habitat_pct,True,9,64.4,69.211,6.7,92.1,1.3
Perpignan,ground_mammal,n_subnetworks,True,9,1.0,2.333,35.2,26.7,38.1
Perpignan,ground_mammal,ec_real_ha,True,9,1707.1,1835.244,6.7,92.1,1.3
Perpignan,ground_reptile,connected_habitat_pct,True,9,23.1,30.333,9.6,86.3,4.0
Perpignan,ground_reptile,n_subnetworks,True,9,14.0,15.222,13.7,80.4,6.0
Perpignan,ground_reptile,ec_real_ha,True,9,270.1,354.278,9.7,86.3,4.0
Perpignan,arboreal_mammal,connected_habitat_pct,True,9,27.7,38.644,4.7,94.4,0.9
Perpignan,arboreal_mammal,n_subnetworks,True,9,3.0,6.889,32.4,46.7,20.9
Perpignan,arboreal_mammal,ec_real_ha,True,9,208.9,291.044,4.7,94.3,0.9
