perturbation,kind,city,guild,corridor_overlap_pct,nb_corridors_delta_pct,blocked_jaccard,ec_real_ha_delta_pct,connected_habitat_pct_delta_pct,n_subnetworks_delta_pct,nb_failed_corridors_delta_pct
c10_m20,local,Perpignan,ground_mammal,97.9,0.1,1.0,0.4,0.5,0.0,0.0
c10_p20,local,Perpignan,ground_mammal,96.3,-0.2,1.0,-0.4,-0.5,0.0,0.0
c20_m20,local,Perpignan,ground_mammal,98.7,-0.2,1.0,0.1,0.0,0.0,0.0
c20_p20,local,Perpignan,ground_mammal,98.5,0.0,1.0,-0.1,-0.2,0.0,0.0
c30_m20,local,Perpignan,ground_mammal,97.7,0.0,1.0,0.5,0.5,0.0,0.0
c30_p20,local,Perpignan,ground_mammal,97.8,-0.2,1.0,-0.5,-0.5,0.0,0.0
c40_m20,local,Perpignan,ground_mammal,98.3,-0.1,1.0,0.3,0.2,0.0,0.0
c40_p20,local,Perpignan,ground_mammal,98.7,-0.1,1.0,-0.2,-0.3,0.0,0.0
c50_m20,local,Perpignan,ground_mammal,96.5,0.1,1.0,0.4,0.3,0.0,-28.6
c50_p20,local,Perpignan,ground_mammal,95.6,-0.2,1.0,-0.3,-0.3,0.0,14.3
c51_m20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c51_p20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c52_m20,local,Perpignan,ground_mammal,98.1,0.0,1.0,0.7,0.6,0.0,0.0
c52_p20,local,Perpignan,ground_mammal,99.4,0.0,1.0,-0.6,-0.6,0.0,14.3
c53_m20,local,Perpignan,ground_mammal,96.0,0.0,1.0,1.4,1.4,0.0,-42.9
c53_p20,local,Perpignan,ground_mammal,97.8,-0.3,1.0,-1.2,-1.2,0.0,42.9
c54_m20,local,Perpignan,ground_mammal,95.5,0.1,1.0,2.0,2.0,0.0,-28.6
c54_p20,local,Perpignan,ground_mammal,96.8,-0.2,1.0,-1.7,-1.7,0.0,14.3
c55_m20,local,Perpignan,ground_mammal,99.5,0.0,1.0,0.6,0.5,0.0,0.0
c55_p20,local,Perpignan,ground_mammal,99.0,0.0,1.0,-0.5,-0.6,0.0,0.0
c60_m20,local,Perpignan,ground_mammal,99.6,-0.1,1.0,0.0,0.0,0.0,0.0
c60_p20,local,Perpignan,ground_mammal,99.8,-0.1,1.0,-0.0,0.0,0.0,0.0
c80_m20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c80_p20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c90_m20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c90_p20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c95_m20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c95_p20,local,Perpignan,ground_mammal,100.0,0.0,1.0,0.0,0.0,0.0,0.0
d0_m25,local,Perpignan,ground_mammal,95.6,-2.1,1.0,-8.6,-8.5,0.0,328.6
d0_p25,local,Perpignan,ground_mammal,100.0,0.4,1.0,6.8,6.7,0.0,-57.1
fric_m20,local,Perpignan,ground_mammal,99.5,0.4,1.0,6.6,6.5,0.0,-57.1
fric_p20,local,Perpignan,ground_mammal,96.8,-1.5,1.0,-5.4,-5.4,0.0,228.6
swd0_050,sweep,Perpignan,ground_mammal,80.8,-8.4,1.0,-20.0,-20.0,200.0,1271.4
swd0_060,sweep,Perpignan,ground_mammal,88.0,-5.7,1.0,-15.0,-15.1,0.0,871.4
swd0_070,sweep,Perpignan,ground_mammal,93.9,-3.3,1.0,-10.6,-10.6,0.0,500.0
swd0_075,sweep,Perpignan,ground_mammal,95.6,-2.1,1.0,-8.6,-8.5,0.0,328.6
swd0_080,sweep,Perpignan,ground_mammal,96.7,-1.8,1.0,-6.7,-6.7,0.0,271.4
swd0_090,sweep,Perpignan,ground_mammal,99.5,-0.7,1.0,-3.2,-3.3,0.0,100.0
swd0_110,sweep,Perpignan,ground_mammal,100.0,0.2,1.0,2.9,2.8,0.0,-28.6
swd0_125,sweep,Perpignan,ground_mammal,100.0,0.4,1.0,6.8,6.7,0.0,-57.1
