guild,city,class,n_c,use,avail,ratio,ci_lo,ci_hi
ground_mammal,Toulouse,core,9,0.141,0.498,0.28,0.13,0.47
ground_mammal,Toulouse,stepping_stone,9,0.141,0.061,2.3,1.02,3.57
ground_mammal,Toulouse,corridor,12,0.188,0.126,1.48,0.74,2.35
ground_mammal,Toulouse,matrix,34,0.531,0.314,1.69,1.34,2.09
arboreal_mammal,Toulouse,core,81,0.628,0.425,1.48,1.28,1.68
arboreal_mammal,Toulouse,stepping_stone,10,0.078,0.067,1.15,0.58,1.85
arboreal_mammal,Toulouse,corridor,12,0.093,0.123,0.76,0.38,1.2
arboreal_mammal,Toulouse,matrix,26,0.202,0.385,0.52,0.36,0.7
arboreal_mammal,Nancy,core,33,0.846,0.636,1.33,1.17,1.49
arboreal_mammal,Nancy,stepping_stone,3,0.077,0.073,1.06,0.0,2.47
arboreal_mammal,Nancy,corridor,1,0.026,0.036,0.71,0.0,2.12
arboreal_mammal,Nancy,matrix,2,0.051,0.255,0.2,0.0,0.5
forest_edge_bird,Perpignan,core,28,0.222,0.141,1.57,1.07,2.08
forest_edge_bird,Perpignan,stepping_stone,16,0.127,0.058,2.2,1.24,3.29
forest_edge_bird,Perpignan,corridor,11,0.087,0.089,0.99,0.45,1.52
forest_edge_bird,Perpignan,matrix,71,0.563,0.712,0.79,0.66,0.9
forest_edge_bird,Toulouse,core,287,0.404,0.245,1.65,1.49,1.81
forest_edge_bird,Toulouse,stepping_stone,96,0.135,0.104,1.3,1.06,1.54
forest_edge_bird,Toulouse,corridor,70,0.099,0.151,0.65,0.51,0.8
forest_edge_bird,Toulouse,matrix,257,0.362,0.5,0.72,0.65,0.79
forest_edge_bird,LRSY,core,17,0.425,0.216,1.96,1.27,2.66
forest_edge_bird,LRSY,stepping_stone,4,0.1,0.061,1.63,0.41,3.27
forest_edge_bird,LRSY,corridor,2,0.05,0.114,0.44,0.0,1.09
forest_edge_bird,LRSY,matrix,17,0.425,0.608,0.7,0.45,0.95
forest_edge_bird,LaRochelle,core,22,0.247,0.087,2.85,1.81,3.88
forest_edge_bird,LaRochelle,stepping_stone,2,0.022,0.019,1.18,0.0,2.94
forest_edge_bird,LaRochelle,corridor,6,0.067,0.096,0.71,0.24,1.29
forest_edge_bird,LaRochelle,matrix,59,0.663,0.799,0.83,0.7,0.94
ground_reptile,Toulouse,core,7,0.032,0.021,1.52,0.44,2.61
ground_reptile,Toulouse,stepping_stone,5,0.023,0.037,0.61,0.12,1.22
ground_reptile,Toulouse,corridor,38,0.171,0.168,1.02,0.72,1.31
ground_reptile,Toulouse,matrix,172,0.775,0.775,1.0,0.92,1.06
